steps, plots
1, 4
2, 8
3, 15
4, 23
5, 32
6, 46
7, 57
8, 74
9, 84
10, 108
11, 120
12, 154
13, 166
14, 203
15, 212
16, 255
17, 270
18, 321
19, 339
20, 385
21, 403
22, 454
23, 478
24, 537
25, 568
26, 633
27, 662
28, 733
29, 763
30, 843
31, 864
32, 953
33, 977
34, 1061
35, 1095
36, 1174
37, 1213
38, 1287
39, 1335
40, 1422
41, 1469
42, 1574
43, 1630
44, 1739
45, 1784
46, 1887
47, 1933
48, 2052
49, 2094
50, 2227
51, 2271
52, 2411
53, 2442
54, 2587
55, 2623
56, 2772
57, 2803
58, 2960
59, 3000
60, 3170
61, 3222
62, 3421
63, 3481
64, 3682
65, 3742
66, 3946
67, 4010
68, 4218
69, 4254
70, 4458
71, 4486
72, 4706
73, 4740
74, 4969
75, 4997
76, 5220
77, 5259
78, 5495
79, 5545
80, 5777
81, 5825
82, 6060
83, 6104
84, 6343
85, 6411
86, 6649
87, 6711
88, 6944
89, 7017
90, 7264
91, 7339
92, 7575
93, 7656
94, 7894
95, 7992
96, 8220
97, 8320
98, 8569
99, 8661
100, 8907
101, 8998
102, 9256
103, 9361
104, 9598
105, 9730
106, 9956
107, 10104
108, 10311
109, 10473
110, 10684
111, 10848
112, 11071
113, 11254
114, 11482
115, 11658
116, 11870
117, 12066
118, 12285
119, 12483
120, 12694
121, 12911
122, 13113
123, 13322
124, 13536
125, 13767
126, 13989
127, 14211
128, 14420
129, 14643
130, 14853
131, 15081
132, 15312
133, 15537
134, 15761
135, 15994
136, 16239
137, 16479
138, 16722
139, 16959
140, 17205
141, 17466
142, 17692
143, 17969
144, 18194
145, 18484
146, 18678
147, 18987
148, 19189
149, 19518
150, 19714
151, 20024
152, 20232
153, 20538
154, 20735
155, 21067
156, 21261
157, 21619
158, 21792
159, 22183
160, 22348
161, 22753
162, 22889
163, 23314
164, 23460
165, 23864
166, 24029
167, 24419
168, 24590
169, 24973
170, 25136
171, 25561
172, 25733
173, 26186
174, 26366
175, 26815
176, 26973
177, 27419
178, 27558
179, 28026
180, 28160
181, 28653
182, 28796
183, 29302
184, 29412
185, 29927
186, 30030
187, 30552
188, 30645
189, 31183
190, 31295
191, 31843
192, 31977
193, 32586
194, 32775
195, 33384
196, 33564
197, 34172
198, 34356
199, 34968
200, 35092
201, 35659
202, 35758
203, 36353
204, 36452
205, 37060
206, 37146
207, 37744
208, 37853
209, 38463
210, 38600
211, 39194
212, 39329
213, 39921
214, 40064
215, 40651
216, 40834
217, 41418
218, 41590
219, 42157
220, 42352
221, 42936
222, 43132
223, 43685
224, 43888
225, 44440
226, 44668
227, 45208
228, 45439
229, 46027
230, 46234
231, 46809
232, 47018
233, 47610
234, 47848
235, 48385
236, 48677
237, 49190
238, 49513
239, 49977
240, 50319
241, 50787
242, 51131
243, 51625
244, 52009
245, 52513
246, 52875
247, 53335
248, 53737
249, 54209
250, 54616
251, 55066
252, 55508
253, 55931
254, 56356
255, 56799
256, 57270
257, 57725
258, 58176
259, 58598
260, 59047
261, 59468
262, 59923
263, 60382
264, 60828
265, 61269
266, 61727
267, 62208
268, 62674
269, 63149
270, 63606
271, 64088
272, 64586
273, 65026
274, 65546
275, 65984
276, 66527
277, 66906
278, 67481
279, 67870
280, 68477
281, 68851
282, 69425
283, 69823
284, 70384
285, 70754
286, 71359
287, 71716
288, 72367
289, 72684
290, 73395
291, 73695
292, 74425
293, 74676
294, 75437
295, 75705
296, 76429
297, 76725
298, 77426
299, 77729
300, 78421
301, 78699
302, 79462
303, 79759
304, 80560
305, 80864
306, 81653
307, 81924
308, 82713
309, 82945
310, 83762
311, 83988
312, 84841
313, 85083
314, 85955
315, 86144
316, 87029
317, 87199
318, 88094
319, 88249
320, 89168
321, 89352
322, 90278
323, 90494
324, 91513
325, 91831
326, 92848
327, 93148
328, 94160
329, 94464
330, 95480
331, 95692
332, 96622
333, 96792
334, 97762
335, 97926
336, 98913
337, 99057
338, 100030
339, 100209
340, 101193
341, 101417
342, 102373
343, 102595
344, 103544
345, 103786
346, 104721
347, 105019
348, 105949
349, 106231
350, 107132
351, 107449
352, 108370
353, 108687
354, 109557
355, 109882
356, 110748
357, 111106
358, 111958
359, 112320
360, 113247
361, 113569
362, 114473
363, 114800
364, 115726
365, 116097
366, 116934
367, 117386
368, 118186
369, 118684
370, 119405
371, 119927
372, 120652
373, 121176
374, 121941
375, 122526
376, 123306
377, 123854
378, 124562
379, 125170
380, 125895
381, 126511
382, 127200
383, 127867
384, 128511
385, 129152
386, 129824
387, 130535
388, 131223
389, 131903
390, 132538
391, 133213
392, 133845
393, 134527
394, 135214
395, 135881
396, 136539
397, 137222
398, 137939
399, 138631
400, 139338
401, 140015
402, 140733
403, 141468
404, 142122
405, 142885
406, 143536
407, 144332
408, 144896
409, 145737
410, 146313
411, 147198
412, 147750
413, 148588
414, 149176
415, 149992
416, 150535
417, 151413
418, 151933
419, 152877
420, 153338
421, 154369
422, 154804
423, 155859
424, 156225
425, 157322
426, 157712
427, 158756
428, 159183
429, 160195
430, 160630
431, 161631
432, 162024
433, 163125
434, 163547
435, 164696
436, 165124
437, 166253
438, 166637
439, 167769
440, 168094
441, 169260
442, 169578
443, 170791
444, 171132
445, 172370
446, 172638
447, 173893
448, 174130
449, 175398
450, 175615
451, 176915
452, 177171
453, 178475
454, 178773
455, 180202
456, 180649
457, 182074
458, 182494
459, 183910
460, 184334
461, 185754
462, 186054
463, 187347
464, 187588
465, 188933
466, 189162
467, 190528
468, 190730
469, 192078
470, 192327
471, 193685
472, 193996
473, 195314
474, 195623
475, 196929
476, 197270
477, 198553
478, 198966
479, 200242
480, 200634
481, 201869
482, 202308
483, 203566
484, 204004
485, 205191
486, 205638
487, 206818
488, 207306
489, 208470
490, 208963
491, 210229
492, 210666
493, 211899
494, 212344
495, 213604
496, 214108
497, 215245
498, 215857
499, 216944
500, 217617
501, 218595
502, 219297
503, 220279
504, 220983
505, 222019
506, 222805
507, 223861
508, 224595
509, 225551
510, 226365
511, 227343
512, 228168
513, 229096
514, 229988
515, 230853
516, 231710
517, 232611
518, 233562
519, 234483
520, 235392
521, 236240
522, 237141
523, 237984
524, 238893
525, 239808
526, 240696
527, 241571
528, 242479
529, 243432
530, 244350
531, 245289
532, 246186
533, 247140
534, 248112
535, 248980
536, 249986
537, 250850
538, 251899
539, 252648
540, 253755
541, 254518
542, 255681
543, 256411
544, 257513
545, 258291
546, 259362
547, 260078
548, 261229
549, 261912
550, 263149
551, 263754
552, 265105
553, 265675
554, 267055
555, 267536
556, 268969
557, 269481
558, 270845
559, 271403
560, 272726
561, 273293
562, 274603
563, 275111
564, 276550
565, 277097
566, 278594
567, 279146
568, 280615
569, 281112
570, 282587
571, 283005
572, 284520
573, 284930
574, 286503
575, 286943
576, 288547
577, 288894
578, 290519
579, 290823
580, 292464
581, 292743
582, 294424
583, 294752
584, 296434
585, 296814
586, 298653
587, 299229
588, 301062
589, 301602
590, 303422
591, 303966
592, 305790
593, 306178
594, 307834
595, 308146
596, 309866
597, 310160
598, 311905
599, 312165
600, 313888
